                                                                                      |                                          -                                           |                                         int                                          |                                          ==                                          |                                          {                                           |                                          )                                           |                                        ident                                         |                                          =                                           |                                     int_constant                                     |                                          <=                                          |                                          !=                                          |                                          (                                           |                                          ;                                           |                                         read                                         |                                          $                                           |                                          ]                                           |                                          >=                                          |                                          }                                           |                                         else                                         |                                        return                                        |                                          /                                           |                                         for                                          |                                          +                                           |                                         def                                          |                                          ,                                           |                                          if                                          |                                   string_constant                                    |                                          >                                           |                                          <                                           |                                    float_constant                                    |                                        float                                         |                                        print                                         |                                         new                                          |                                          ∗                                           |                                          [                                           |                                        string                                        |                                        break                                         |                                         null                                         |                                          %                                           |
                                        LVALUE                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                       FUNCLIST                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                       FUNCCALL                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      OPT_ELSE                                        |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                             OPT_ELSE  -> else STATEMENT                              |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    UNARYEXPR_OP                                      |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                  UNARYEXPR_OP  -> /                                  |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                  UNARYEXPR_OP  -> ∗                                  |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                  UNARYEXPR_OP  -> %                                  |
                                       DATATYPE                                       |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      EXPRESSION                                      |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                    REC_UNARYEXPR                                     |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                       IFSTAT                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                   IFSTAT  -> if ( EXPRESSION ) STATEMENT OPT_ELSE                    |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
                                      RETURNSTAT                                      |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |                                         None                                         |
